Key,Value
"ǵu̯er-, ǵu̯erə-",be hot
3. ker(ə)-,to burn
"2. ḱēu- : ḱəu-, ḱū-",light (a fire)
ḱsā-,to burn
"7. pel-, pol-, plē-, plō̆-",be warm
"tēg-, təg-",to burn
12. u̯er-,to burn
aik-,to call to
ai-rā,(type of grass)
"1. aḱ-, aḱō-",to eat
ed-,to eat
gʰō̆s-,to eat
akkā,mama (nursery word)
aḱru,tear(drop)
gʰrē- : gʰrō- : gʰrə-,become green
tāl-,turn green; plant
3. ā̆l-,wander; be crazy/confused
alā,hello! (greeting)
"ālu-, ālo-",a bitter plant?
rep-,rip out
"2. am-, mē-",to mow
"ames-, or omes-",blackbird: merl
"anətā, <sub>e</sub>nətā",anta
1. deḱ-,to take
em-,to take
appa,papa (nursery word)
"eǵʰs, eǵʰz",ex-
apsā,aspen (tree)
kob-,fare well
areg-,shut away
bronk-,shut in
arenko-,(type of grain?)
"arōd-, arəd-",(type of waterbird)
aro-m,reed?
aru̯ā,intestines?
"*ati-, ateli-",(type of fish)
"ā̆tos, atta",daddy
1. au-,ow! (exclamation of pain)
"drē- : drə-, extended dr-ē̆m-",to sleep
"1. su̯ep-, sup-",to sleep
"4. au-, u- : u̯ē̆-, u̯o-",other; that (one)
1. mer-,weave; rope
teḱþ-,to plait
"prāi-, prəi-, prī-, pri-",feel friendly/well-disposed
2. dʰen-,flat of hand
gen-,press together
koḱsā,body part: foot
plab-,to babble
"1. sp(ʰ)er-, sp(ʰ)erə-",act rashly
"4. ter-, terə- : tr̥̄-, trā-, teru-",to cross
"11. au̯ē-, (u̯e-d(ʰ)-?)",take pains
4. ken-,strive eagerly
"mō-, mo-lo-",trouble oneself
"augʰ-, ugʰ-",nape of the neck
au̯iǵ-,oats; type of grass
"auqʷ(ʰ)- : uqʷ(ʰ)-, probably also u̯eqʷ(ʰ)-",cooking pot
au̯o-s,maternal grandfather
baˣmb-,(type of noise)
band-,drop (of liquid)?
bau,bow-wow (onomatopoeic: dog barking)
"bē, bā",baa (onomatopoeic: sheep bleating)
"1. b(e)u-, bʰ(e)u-",(onomatopoeic: dull noise)
i̯es-,foam up
"merədʰ-, mrādʰ-",bubble up
blat-,prattle
blē-,to bleat
"brangʰ-, brongʰ-?",hoarse?
bu-,lip; kiss
1. bʰag-,apportion
"u̯eidʰ-, u̯idʰ-",separate; widow
bʰāgó-s,beech (tree)
"bʰarekʷ-, or bʰ<sub>e</sub>rekʷ-",to farce
"bʰāso-, or bʰēso-",(large bird of prey)
"ē̆neu, ē̆nu",without
"2. bʰē̆, bʰō̆",(emphatic particle)
"dʰembʰ-, dʰm̥bʰ-",to dig
bʰei-,bee (insect)
"1. bʰel-, Balto-Slavic also bʰelə-",glittering white
sengʷʰ-,to sing
pid-,give birth?
"1. tel-, telə-, tlē(i)-, tlā-",carry; weigh
"terd-, tred-",drill through
5. bʰer-,shining; bright brown
epʰ-,to cook
"ḱerə-, ḱrā-",to cook
pekʷ-,to cook
"bʰeredʰ-, bʰṛdʰo-",to cut; board
"1. ē̆, ō̆",this
"3. e-, ei-, i-, fem. ī-",(demonstrative particle: one
"nana, nena",nana (nursery word: (grand)mother
"1. nĕ, nē, nei",(negative particle: no
"oi-no-, oi-u̯o-",(demonstrative particle: one
1. u-,(onomatopoeic: owl's hoot
"bʰeudʰ-, nasalized bʰu-n-dʰ-",be aware
"2. bʰeug-, bʰeugʰ-",put away
paus-,let loose
4. bʰeug-,to enjoy
"terp-, trep-",satisfy oneself
bʰlē-u̯o-s,a light color (blue
"bʰōi- : bʰəi- : bʰī-, bʰii̯ə-",be afraid
du̯ei-,to fear
bʰok-,to burn?
2. bʰreǵ-,to stick up
"bʰrenk-, bʰronk-",to bring
bʰre(n)ḱ-,to err
1. nebʰ-,to burst
2. bʰreu-s-,to bruise
dā-,fluid; river; to flow
daḱru-,tear (from the eye)
*dəǵʰ-mó-,slanting
"de-, do-",I-deictic; here
deiǵʰ-,prick; tick
"ḱās-, ḱəs-",show the way
"2. deḱ- : doḱ-, dēḱ-",rip to pieces
2. ereu-,rip up
dʰeiǵʰ-,knead clay
"demə-, domə-, d<sub>o</sub>mə-",to tame
demel-,worm?
1. dens-,to learn; mental power
stem-,thrust; stumble
"1. der- : dōr-, d<sub>e</sub>r-, or dōr- : dər-",hand span
"2. der-, reduplicated der-der-, dr̥d<sub>o</sub>r-, broken reduplication dor-d-, dr̥-d-",(onomatopoeic: to mutter
1. dʰregʰ-,to run
derbʰ-,put together
der(ep)-,to see?
"derə-, drā-",to work
"dʰerbʰ-, dʰerəbʰ-?",to work
dergʰ-,to grasp
gem-,grip; be full
neu-d-,make use of
derḱ-,to look
"des-, dēs-",to find
1. deu-,to sink in
"2. deu-, or dou- : du-",venerate; mighty
i̯ag-,venerate
deup- : kteup-?,(onomotopoeic: dull thud)
"dʰanu-, or dʰonu-",(type of tree)
"dʰlas-, or dʰels- : dʰl̥s-",squeeze; squash?
2. men-,step on
"1. dʰē-, reduplicated dʰē-dʰ(ē)-",older family member (nursery word)
"3. dʰē-, dʰə-",to disappear
2. dʰel-,to light; shining
3. dʰel-,to tremble
dʰelg-,stick; needle
"2. ere-s-, <sub>e</sub>rs-, r̥s-, <sub>e</sub>res-, and rē̆s-, rō̆s-",to flow
"2. gʷel-, gʷelə-, gʷlē-",drip down; throw
"snā-, snə-(t-), snāu-, sn-eu-, sn-et-",swim; damp
4. dʰer- : dʰor- : dʰ<sub>e</sub>r-,to jump (at)
"5. dʰer-, dʰrei-d-",to defecate; dirt
dʰerebʰ-,to harden; coagulated
dʰeregʰ-,bushy plants
dʰers-,be bold
"dʰēs-, dʰəs-",(used in religious terms)
2. leit(ʰ)-,go away
"4. mer-, merə-",to die
dʰō-,to sharpen
dʰō[u]- : dʰū-,rope?
gʰen-,crack open
kseud-,stamp to little pieces
dʰrono-,multicolored?
"dʰu̯er-, dʰu̯erə-",to harm by trickery/deception
"2. ē, ō",oh (vocative interjection)
2. edʰ-,fence of stakes
eg-,lack (of something)
eǵʰero-,(inland) lake
"eʰem, eʰeu, eʰo",aha! oho! (exclamation)
2. ē̆i,O (vocative particle)
2. ō,O (vocative particle)
3. ei-,bright; reddish
"eibʰ- : oibʰ-, i̯ebʰ-",to copulate
1. eis-,to move rapidly/violently
"4. el-, ol-",(a noise)
"5. el-, ol-",to destroy
gʷʰðei(ə)-,perish
ol-(e-),to destroy
"7. el-, elə-, witʰ k-suffix elk-, elək-",hungry; bad?
"8. el-, elē̆i-, lē̆i-, olī̆nā",to bend; elbow
ēn,behold! look here!
2. tek-,stretch out (hand) for
top-,stay; place
"eno-, possibly e-no- : ono- : no- : -ne-",that
"1. to-, tā-, ti̯o-",him (neut. or non-nom. demonstrative stem)
epero-,wild boar
"epop, opop",(onomatopoeic: call of hoopoe bird)
"ē̆reb(ʰ)-, ō̆rob(ʰ)-",(dark color
ered-,to flow away; dampness
"1. erə-, rē-, er(e)-",to row; oar
"er(ə)d-, (<sub>e</sub>r(ə)d-), er(ə)dʰ-",high; to grow
ēter-,intestines
ētī-,eider (duck)
2. eu-,put on
3. eu-,to feel
4. eu-,(exclamation of joy)
euk-,to accustom oneself
ǵā̆b-,watch out for
"gag-, gōg-",something round/lumpy
"ǵʰau-, ǵʰau̯ə-",to call
"3. gal-, or gʰal-",to be able
gang-,scorn
lengʰ-,to scold
rā̆s-,(re)sound
"(s)trep-, (s)treb-",make wild noises
"ǵel-, ǵelə-, ǵlē-, also *gelēi- : ǵ(e)ləi-",be joyful
1. rēd-,cheer up
"ǵembʰ-, ǵm̥bʰ-, ǵombʰos",to bite; tooth
ǵem(e)-,to marry
1. kem-,hem in
"ǵer-, ǵerə-, ǵrē-",to rub; rotten; to age
g(e)u-lo-,glowing coal
mels-,to taste
ǵlei-,to attack
"gou̯ə-, or gau̯ə-? : gū-",hand; to grab
grēb(ʰ)o-s : grōb(ʰ)o-s,beech or hornbeam (tree)
grem-,to be damp; to sink
"grōd-, grəd-",hail?
gru-,to grunt (of pigs)
"gʰa gʰa, gʰe gʰe, gʰi gʰi",to cackle
gʰais-,be fixed to
(s)teig-,prick; sharp
gʰait-ā,curly/wavy hair
ǵʰalg(ʰ)-,flexible twig
ǵʰan-,to yawn
"gʰe-, gʰo-",(enclitic (emphatic?) particle)
"ḱu̯ek-, nasalized ḱu̯enk- : ḱuk-",to gape
ǵ(ʰ)eǵʰ-,ferret (or similar carnivorous mammal)
2. ǵʰei- : ǵʰi-,snow; winter
2. ǵʰel-,to cut?
(s)nerb-,to cut?
ǵʰēlā,wine?
i̯agʰ-,to hunt
"ku̯oi-, ku̯ī-",to want
gʰel(ē̆)ǵʰ-,(type of metal)
2. gʰer-,stroke hard
1. kerd-,to gird
2. gʰers-,(type of weed
"gʰeuǵʰ-, gʰū̆ǵʰ-",do secretly
(s)tāi-,to steal
ǵʰō,behind; towards
1. kʷei(-t)-,to observe with respect
"gʰrēi- : gʰrəi- : gʰrī-, and lit. gʰrei-",to smear over
gʰroud-,(round body part
2. gʷēb(ʰ)-,slimy; frog
"u̯al-, u̯al-d(ʰ)-",be strong
gʷelbʰ-,womb
"gu̯es-, gȗos-, gus-, extended gu̯oz-do-",leaves
gʷrendʰ-,to swell; breast
ǵʰu̯ē̆r-,wild animal
ǵʰu̯oigʷ-,to shine; star
ʰā̆,(surprise: ha! oh!)
ʰa ʰa!,(laughter)
kʰa kʰa,(laughter)
i̯ēk- : i̯ək-,to heal
1. i̯eu-,mingle (of meal preparation)
i̯eu-dʰ-,move swiftly
ḱat-,struggle; battle
i̯euǵ-,arouse; unsteady
"i̯eu-ni-, or i̯ou-ni-",the right place/way
i̯oi-ni-,reed (bulrush)
i̯ork-,(type of deer)
i̯ō[u]s- : i̯ūs-,belt; to gird
1. i̯u-,you (plural)
2. i̯ū̆,yowl (exclamation of joy/wonder)
"kā̆, ke, kom",well! (particle)
1. ḱad-,to fall
keid-,to fall
"2. pet-, petə- : ptē-, ptō-, Hellenic ptā-",tumble down
pʰō̆l-,to fall
"si̯ū-, sīu̯-",to sew
2. kai,and
kakka-,to cack
kāk-,to croak; cracking sound
1. ḱak-,to become thin
"ḱelb-, ḱelp-",to help
1. nā-,be useful
"2. kal-, kali-, kalu-",handsome
"3. kā̆l-, kō̆l-?",to be captured; prison
kalni-,narrow path/passage
"kāp-, kəp-",piece of land
kā̆po-,thing in the water
kapro-,he-goat
"2. kar-, karə-",to glorify
2. kat-,to bear young; young animal
"kā̆u-, kē̆u-, kū-",to howl
kaus-,to draw lots
ked-,to smoke
2. ḱei-,(dark color: brown
ḱēko-,green grass/fodder
"1. kel-, kelə-",tower up; hill
1. rek-,tower up; pole
"4. kel-, and kāl-",light and dark spots
9. kel-,to owe
2. (s)kel-,to owe
10. kel-,to dry out
11. kel-,to bend; crooked
"4. (s)kel-, extended klā-, klō-",to bend; crooked
"kēl-, kōl-, kəl-",dumbfound
2. mel-,to deceive
"5. u̯el-, u̯elə-",to deceive
2. sten-,to narrow
2. ḱem-,hornless (normally horned) animal
4. ḱem(ə)-,to be/make tired
3. ken-,to begin
"5. ker-?, kō̆r-",to hang
"kerəp-, krēp-",leather rag; shoe
"1. ker-, kor-, kr-",(onomatopoeic: hoarse sound)
"kerem-, krem- : krom-, and kerm-",onion or garlic; ash (tree)
kerḱ- : korḱ- : kr̥ḱ-,shrivel up
lerd-,to twist
"(s)keut-, (s)keudʰ-",to shrink
ḱē-ro-,colorful (or a color term)
okʷ-,ogle; eye
2. reg-,to see
1. u̯el-,to see
leng-,bend oneself
"3c. u̯er-, u̯(e)r-ed-",bend down
"ḱēu̯ero-, ḱōu̯ero-, also sḱūro-?",north (wind)
"ḱeuḱ-, ḱuḱ-",to whirl
kik-,jay (bird)
ḱipʰ-,thin flexible twig/root
klādʰrā,alder (tree)
klau-,to weep
kleiḱ-,to press/squeeze (painfully)
kleno-,maple (tree)
klēp-,to hold in arms and/or lap
kneug-,(onomatopoeic: to growl
"ḱo-, ḱe-, witʰ tʰe particle ḱe, ḱ(e)i-, ḱ(i)i̯o-",this; here
"koi-, ku̯ī-",(creaking noise)
koi-lo-,naked; miserable
sep-,to honor
su̯ergʰ-,to be ill; to sorrow
"ko ko, kak(k)-, ku(r)kur-",(onomatopoeic: sound of cock/hen)
"konəmo-, knāmo-, or k<sub>e</sub>nəmo-",shinbone
ḱonk-,to doubt
"ḱop(ʰ)elo-s, or ḱap(ʰ)elo-s",(type of carp)
kos(e)lo-,hazel (tree)
krā[u]- : krəu- : krū̆-,to heap up
"ḱrebʰ-, ḱrō̆bʰ-, ḱrembʰ-",to entrust
kred-,beams
"1. kreg-, and kerg-?",to torment
4. krē̆k- : krok-,to tower
"ku-, kus-",to kiss
kuku,(onomatopoeic: to coo
ku̯ak-,(onomatopoeic: to quack
ku̯at(ʰ)-,to ferment
"3. (s)treig-, streid(ʰ)-",to hiss
"3. ḱuei-, extended kuei-d-, kuei-s-, kuei-t-",to shine; white
"1. ku̯elp-, ku̯elb- : ku̯l̥p/b- : klup/b-",buckle at the knees; to trot
skʰel-,to stumble
ḱu̯en-,to celebrate; saint
"ḱu̯endʰ-ro-, -no-",(type of plant)
"ku̯res-, ku̯ers-, ku̯r̥s-",small wood
1. kʷe,(enclitic) and
"1. kʷel-, kʷelə-",to turn; wheel; neck?
2. kʷel-,far away
"kʷo-, kʷe-, fem. kʷā, kʷei-",(indefinite/interrogative pronoun)
kʷrei-,to buy
kʷās- : kʷəs-,to cough
lā̆gʰ-,to cut; cutting tool
laiu̯o-,(on the) left
lāu-,to acquire (as booty)
"lauk(o)-, ləuk-",jaw; throat
"lē̆b-, lō̆b-, lāb-, l<sub>e</sub>b-",lip; to slump
2. leg-,to worry
2. lēǵʰ- : ləǵʰ-,to crawl; low
legʷʰ-,to move easily
2. lē(i)-,to grant/acquire possession
3. lē(i)-,to weaken
"leiǵʰ-, sleiǵʰ-",to lick
1. leik-,to offer for sale
leikʷ-,to leave
leis-,to furrow; learn
1. leit-,to loathe
1. lēk- : lək-,tendril; trap
2. lēk- : lək-,tear to pieces
2. lem-,astonishment (with the notion of wide open jaws)
1. lep-,(onomatopoeic root)
"2. u̯ī̆-, u̯oi-",(onomatopoeic root)
"lēto-, ləto-",daytime; summer
1. lēu-,to leave behind
1. leudʰ-,to grow up; free; people
2. leu-g- : lu-g- : lū-g-,blackish; swamp
1. mā-,to beckon
magʰos,maiden
men(ə)k-,to knead
māḱ- : məḱ-,long and slender
mand-,pen/hurdle of plaited rods/twigs
1. me-,me (1st pers. sg. oblique pronoun stem)
1. mē-,(prohibitive particle: lest
"3. mē-, m-e-t-",to measure
"5. mē-, mō-, mə-",to be intent; of strong will
1. med-,to mete
"6. mei-, mei̯u-, min(u)-, mim(ei)-",(onomatopoeic: high thin sound)
"meigʰ-, also meik-",twinkle; mist
meis-,twinkle; mist
mei-gʷ-,to (ex)change
1. meit(ʰ)-,place to stay
2. mei-t(ʰ)-,to commute
mek-,(onomatopoeic: to bleat)
3. mel-,to hesitate
5. mel-,limb; to join
1. meldʰ-,to utter ritual words (to deity)
"mēlo-, smēlo-",small animal
membʰ-,to reproach
3. men-,to think; mind
4. men-,to diminish; small
"mend-, mond-, mn̥d-?",suck(le); breast
1. pen-,to feed
mendʰ-,to direct attention to; vivacious
m<sub>e</sub>ni-,minnow (or other type of fish)
"mēnōt, genitive mēneses, from wʰicʰ mēnes-, mēns-, mēs-, mēn-",month; moon
"1. mentʰ-, metʰ-",to stir
"3. mer-, mor-(u-)",to blacken; dark color
1. merǵ-,to wipe off
meri̯o-,young man/woman
1. meug-,to lie in wait
"2. meug-, meuk-",to slip
"modʰro-, or madʰro-",blue; madder
mono-,neck; mane
"mormor-, murmur-",to murmur (dully)
mozǵʰo-s,young cattle
mūs,mouse; muscle
2. nāu- : nəu- : nū-,death; corpse
"3. ne-, nō-, plural nē̆s-, nō̆s-",we
"2. nei-, neiə-, nī-",to be moved
2. neid- : nid-,to flow; stream
neigʷ-,to wash
neik-,to winnow (grain)
nepōt-,nephew; grandchild
"1. ner(-t)-, aner-, əner-?",vital force; man
nes-,to unite; be concealed
2. neu-,to push (someone); to nod
obʰel-,to sweep; multiply
1. od-,to smell
oid-,to swell; strong
ok-,to consider
ōḱú-s,quick(ly)
omə-,to suffer; firm up
ongʷ-,to anoint
"orǵʰi-, r̥ǵʰi-",testicle
"*ōs, ōs-i-s, ō̆s-en-, os-k-",ash (tree)
pāsó-s,a relative
"pāuson-, pūson-",(name of a deity)
"pei̯(ə)-, pī̆-",fat; milk
"2. perḱ-, preḱ-",spotted
"2. rei-, roi-",brightly variegated
"2. peiǵ-, and peiḱ-",to be hostile
"1. peḱ-, pēḱ-, pōḱ-",to be joyful
3a. pel-,to fold
"sḱlēk-, sḱlək-",sprinkle; wet
2a. per-,to pass over/beyond
2d. per-,to bear (a child)
perd-,to fart
2. perg-,fear; to frighten
2. perk- : pr̥k-,coals
"1. pet-, p<sub>e</sub>t-, petə-",to stretch out (esp. arms)
1. sē(i)-,to sift
"teu̯ə-, tu̯ā-",to sift
pēu- : pəu- : pū̆-,to hit; sharp
pezd-,to break wind (softly)
pi-n-,piece of wood
"plouto-, pluto-",(wooden object)
"pret-, prō̆t-",to understand
prīs-,to granulate
"pster-, pstereu-",to sneeze
"3. skē̆u-, ksē̆u-",to sneeze
ptel(e)i̯ā,(type of tree
"1. pū̆-, peu-, pou-, also pʰu-",to blow (up)
pu-lo-,(stiff) hair
"1. reg-, and sreg-?",to dye
"2. reǵ-, reḱ-, rek-?",damp; rain
reibʰ-,(onomatopoeic: to resound?)
reid-,lean against
"skabʰ-, skambʰ-",to support
"u̯retʰ- : u̯rotʰ-, or u̯ratʰ-",to support
reidʰ-,to ride
reik-,to stretch oneself; pole
rei-r(ēi)-,(onomatopoeic: to quake
"rem-, remə-",to rest; to support
rent-,thing?
reus-,elm (tree)
"u̯inǵ-, and u̯eiǵ-, u̯iǵ-?",elm (tree)
"ruk(k)-, rouk(k)-",yarn; fabric
r̥ksā,fetlock; tether
ŕ̥ḱþo-s,bear (animal)
sak-,to sacrifice
1. sal-,sal
sasi̯o-,(type of grain)
1. seg-,to sow (seed)
"2. seg-, nasalized seng-",to attach
1. sek-,to run off
selǵ-,to pour out
"sen-, sene-, sen(e)u-, senə-",to prepare
4. ser-,to insert
serk-,to fence; hedge
"2. seu-, seu̯ə-, sū̆-",to bear (a child); son
"seu̯ə-, sū-",to leave behind?
seu̯i̯o-,(to the) left
"sḱāi-, sḱəi- : sḱī-",to shine/shimmer dully; shadow
"skē̆i-bʰ-, nasalized ski-m-bʰ-",to limp; slanting
(s)keng-,to hobble; lame
sḱer-(d-),to defecate; dung
1. skeud-,to grumble
(s)kʷalo-s,(type of large fish
sku̯erb(ʰ)-,to pierce
(s)leidʰ-,to slide; slippery
"(s)leug-, (s)leuk-",to swallow
"(s)leup-, (s)leub(ʰ)-",to hang slackly
"(s)lr̥g-, and sler-",(onomatopoeic: to swallow)
"sme, smā̆",really
"1. (s)mei-, smeu-",to smile
1. smel-,to smolder
"smerd-, smord-",to stink
"(s)meukʰ-, (s)meug-, (s)meugʰ-",to smoke; smoke
sneigʷʰ-,to snow; snow
"snēp-, snōp-, snəp-",to gather in sheaves/bundles; twist into rope
"so(s), sā",(nom. sg. demonstrative stem: he
sō[u]rā : sōrā,calf (of leg)
spako-,point; small drop
"sp(ʰ)ē-, sp(ʰ)ə-(dʰ-)",long flat piece of wood
"speǵ-, or spō̆ǵ-",to watch sharply
(s)pel-,to speak aloud
"sp(ʰ)elǵʰ(en), splenǵʰ-, splē̆ǵʰ-",milt; spleen
"2. *(s)pen-, (s)pon-, (s)pondʰo-",wooden pail
spend-,to offer a libation
2. sper(-g)-,(type of bird
"4. (s)p(ʰ)er-, (s)p(ʰ)erəg-",to rip
3. sp(ʰ)er-,balls of goat/sheep excrement
(s)pī̆ko-,woodpecker (or other large bird)
(s)pleiǵʰ-,to splay (legs)
srenk-,to snore
srēno-,body part (e.g. hip
stā- : stə-,to stand
"stāi-, stī̆-, sti̯-ā-",to condense
1. (s)tel-,to urinate
2. u̯ep-,throw out
"sterg-, sterk-",to care for
2. steu-,to praise (aloud)
steu̯ə-,to coagulate
stru-,gray-haired
1. sūs-,to whistle (of wind)
su̯ād-,sweet; to enjoy something
su̯ard-,to laugh
2. su̯eid-,to sweat
su̯ek-,to smell (good)
su̯ekrū́-,husband's mother
"3. su̯el-, su̯ol-, sul-",sole of foot; ground
"su̯enk-, sunk-",heavy; pregnant
tād-,to act purposefully
tāg-,to tidy up
1. tap-,to dip
2. tap-,to press down/together
"tata-, and similarly tē̆ta-",daddy (nursery word)
"2. tel-, telə-, telu-",flat (board
3. tel-,to be calm/still
telp-,to have room; spacious
6. ter-,(boring/gnawing insect)
ters-,to toast
tet(e)r-,(onomatopoeic: to quack)
teus-,to empty
"ti-ti-, (ti)til-",(onomatopoeic: chirping of small bird)
2. trep-,to bow the head
trē̆u-,to prosper
trū̆des-,scratchy; leprosy?
"tu, tutu",(onomatopoeic: chirping of bird)
tū̆,thou
2. tu̯ak-,to bathe
ul-,(onomatopoeic: to howl
2. u̯ā-,(to pull) apart
u̯ai,woe; wolf
1. u̯ap-,to chatter
"1. u̯ē̆-, u̯ei-",we two (dual)
u̯ēp- : u̯əp-,to blow; to soar
"u̯erdʰ-, u̯redʰ-",to grow; high
"1. u̯erǵ-, u̯reǵ-",to (en)close
u̯ers-,to drag along the ground
2. u̯es-,to feast
3. u̯es-,to ooze
u̯ōro-,madness; dizziness
