Key,Value
sent-,"go.a.01, go.n.04, go.n.01, go.v.09, go.v.28, go.v.03, go.v.02, go.v.16, go.v.10, go.v.05, go.v.25, go.v.23, go.v.22, go.v.19"
"4. ḱer-, and ḱerə- : ḱrē-",spoiled.s.01
1.*teng/g̑-{1},"wet.s.05, wet.a.01, wet.a.04, wet.a.03, wet.a.02, wet.v.02, wet.v.01, moisten.v.01"
"2. enebʰ- : nebʰ-, embʰ-, m̥bʰ-","wet.s.05, wet.a.01, wet.a.04, wet.a.03, wet.a.02, wet.v.02, wet.v.01"
klep-,"wet.s.05, wet.a.01, damp.s.01, wet.a.04, wet.a.03, wet.a.02, damp.n.01, wet.v.02, wet.v.01, damp.v.02"
lat-,"wet.s.05, wet.a.01, wet.a.04, wet.a.03, wet.a.02, wet.v.02, wet.v.01"
1. mā̆k-,"wet.s.05, wet.a.01, wet.a.04, wet.a.03, wet.a.02, wet.v.02, wet.v.01"
"mā-no-, mā-ni-","wet.s.05, wet.a.01, damp.s.01, wet.a.04, wet.a.03, wet.a.02, damp.n.01, wet.v.02, wet.v.01, damp.v.02"
"2. melk-, melg-","wet.s.05, wet.a.01, wet.a.04, wet.a.03, wet.a.02, wet.v.02, wet.v.01"
"1. meu-, meu̯ə- : mū̆-","wet.s.05, wet.a.01, wet.a.04, wet.a.03, wet.a.02, mud.n.02, mire.n.01, mire.n.03, mud.n.01, wet.v.02, wet.v.01, mud.v.02, mire.v.04, mire.v.02"
2. nebʰ-,"wet.s.05, wet.a.01, wet.a.04, wet.a.03, wet.a.02, wet.v.02, wet.v.01"
1. teng-,"wet.s.05, wet.a.01, wet.a.04, wet.a.03, wet.a.02, soak.n.02, soak.n.01, wet.v.02, wet.v.01, soak.v.09, soak.v.08, soak.v.05, soak.v.01"
"2. u̯elk-, u̯elg-","wet.s.05, wet.a.01, damp.s.01, wet.a.04, wet.a.03, wet.a.02, damp.n.01, wet.v.02, wet.v.01, damp.v.02"
gʰoilo-s,foaming.s.02
"bʰō̆gʰ-, or bʰā̆gʰ-","lowland.a.01, bog.n.01, lowland.n.01, swamp.n.01, swamp.n.02, swamp.v.01"
(s)leu-,"slack.s.02, feeble.s.04, feeble.s.01, slack.n.06, slack.n.05, slack.n.03, slack.n.01, slack.v.08, slack.v.04, slack.v.03, slack.v.02, slack.v.01"
"bʰroisqo-, bʰrisqo-","bitter.s.05, bitter.s.04, bitter.s.06, bitter.s.02, bitter.n.02, bitter.v.01"
*gʰreh₁u̯-{1},"rush.s.02, rush.n.07, fall.n.05, fall.n.07, fall.n.06, rush.n.06, rush.n.02, fall.n.10, fall.n.03, rush.n.04, rush.n.03, fall.n.01, fall.v.03, fall.v.32, fall.v.31, fall.v.10, fall.v.30, fall.v.29, rush.v.03, rush.v.04, fall.v.28, fall.v.27, fall.v.26, rush.v.02, fall.v.01, fall.v.24, fall.v.23, fall.v.22, rush.v.01, rush.v.05, fall.v.15, fall.v.21, fall.v.20, fall.v.09, fall.v.14, fall.v.18, fall.v.13, fall.v.06, fall.v.12, fall.v.17, fall.v.08, fall.v.07, fall.v.16, fall.v.04"
"leto-, lēti-, lēto-, lōto-","burning.s.01, burning.n.01, burning.n.06, burning.n.05, heat.n.04, heat.n.03, heat.n.06, anger.n.01, heat.n.01, anger.n.02, heat.v.01, heat.v.04, anger.v.01, anger.v.02, heat.v.02"
2. gʰrebʰ-,"grave.s.03, grave.s.01, grub.n.02, grave.n.02, scratch.n.10, scratch.n.09, scratch.n.04, grave.n.01, scratch.v.02, grub.v.02, scratch.v.07"
"1. dʰer-, dʰerə-","dirt.s.01, dreg.n.01, dirt.n.02"
"gʷōu-, gʷū-","dirt.s.01, dirt.n.02, dung.v.02, dung.v.01"
"īl-, īlu-","dirt.s.01, dirt.n.02"
ḱū̆dʰ-,"dirt.s.01, dirt.n.02, dung.v.02, dung.v.01"
"1. ḱu̯ei-, ḱu̯ei-no-","dirt.s.01, dirt.n.02"
"1. leu-, *leu̯ə- : lū̆-","dirt.s.01, dirt.n.02"
*(s)kerH-{1},"separate.s.03, separate.a.01, separate.n.02, divide.n.01, divide.v.02, separate.v.05, separate.v.02, separate.v.12, separate.v.09, separate.v.07, separate.v.08, divide.v.01, separate.v.01"
*kreh₁(i̯)-{1},"separate.s.03, separate.a.01, seven.s.01, separate.n.02, seven.n.01, separate.v.05, separate.v.02, separate.v.12, separate.v.09, separate.v.07, separate.v.08, separate.v.01"
2.*(s)pelH-{1},"separate.s.03, separate.a.01, separate.n.02, divide.n.01, divide.v.02, separate.v.05, separate.v.02, separate.v.12, separate.v.09, separate.v.07, separate.v.08, divide.v.01, separate.v.01"
2. leu-,"separate.s.03, separate.a.01, separate.n.02, separate.v.05, separate.v.02, separate.v.12, separate.v.09, separate.v.07, separate.v.08, separate.v.01"
"seni-, senu-, s<sub>e</sub>ni-, sn̥-ter-","separate.s.03, separate.a.01, separate.n.02, separate.v.05, separate.v.02, separate.v.12, separate.v.09, separate.v.07, separate.v.08, separate.v.01"
skē̆i-,"separate.s.03, separate.a.01, separate.n.02, skive.v.01, separate.v.05, separate.v.02, separate.v.12, separate.v.09, separate.v.07, separate.v.08, separate.v.01"
6. skēu(-t)-,"separate.s.03, separate.a.01, separate.n.02, scratch.n.10, scratch.n.09, scratch.n.04, scratch.v.02, scratch.v.07, separate.v.05, separate.v.02, separate.v.12, separate.v.09, separate.v.07, separate.v.08, separate.v.01"
gʰleu-,joyful.a.01
garəǵ-,"grievous.s.02, grim.s.01, dreadful.s.03"
*h₂u̯i̯edʰ-{1},hurtful.s.01
pōu- : pəu- : pū̆-,"small.a.01, few.a.01, small.s.04, small.s.08, small.r.01, small.n.02, small.n.01, few.n.01"
leubʰ-,"like.a.01, like.a.02, like.n.02, like.n.01, like.v.04, like.v.03, like.v.02, like.v.05"
"5. mei-, mi-neu-","minor.s.10, minor.a.03, minor.a.02, minor.a.05, minor.a.04, minor.a.07, minor.a.01, minor.a.06, minor.s.09, minor.s.08"
1. ǵʰeu-,"found.a.01, found.n.01, pour.v.02, pour.v.04, pour.v.01, pour.v.05, pour.v.06"
dl̥kú-,"dulcet.s.02, dulcet.s.01, sweet.s.04, sweet.a.07, sweet.a.01, sweet.n.04, sweet.n.03"
sendʰro-,melted.a.01
"3. u̯ei-, u̯eiə- : u̯ī-","violent.s.03, violent.s.02, violent.a.01, pursue.v.02, pursue.v.04"
2. streig-,"stiff.s.01, stiff.s.02, taut.s.01, taut.s.02, stiff.r.01, stiff.n.01"
mrk-,"more.a.01, more.a.02, more.r.01, more.r.02, carrot.n.04, carrot.n.03, daucus.n.01, carrot.n.02, carrot.n.01"
1. kat-,"net.a.01, net.n.06, net.n.02, net.n.05, net.n.04, net.v.04, plait.v.02, net.v.01, net.v.02"
agʰ-(lo-),"disgusting.s.01, unpleasant.a.01"
gʷrebʰ-,"young.s.04, young.a.01, young.n.01, embryo.n.02, young.n.09, embryo.n.01"
3. i̯eu-,"young.s.04, young.a.01, young.n.01, young.n.09"
"4. an-, anu, anō, nō","on.a.01, on.a.02, along.r.01, along.r.02, along.r.04, along.r.03, along.r.05, on.r.02, on.r.03"
2. mā-,"opportune.a.01, timely.s.02, timely.s.01"
po-ti,"opposite.a.02, opposite.s.05, opposite.s.04, opposite.s.01, opposite.s.03"
"nogʷ-, nogʷod(ʰ)o-, nogʷ-no-","naked.s.05, naked.s.04, naked.s.02, naked.s.03, nude.n.01, nude.n.04, nude.n.03, nude.n.02"
"kʷei̯ə-, kʷii̯ē-",peaceful.a.01
*spʰerh₂g-{1},"crackle.s.01, crackle.n.02, crackle.n.01, hiss.n.01, crackle.v.03, hiss.v.01, hiss.v.03, hiss.v.02"
?*spreg-{1},"crackle.s.01, crackle.n.02, crackle.n.01, crunch.n.01, crunch.n.02, crackle.v.03, crunch.v.01, crunch.v.03, crunch.v.02"
1. greus-,"crackle.s.01, crackle.n.02, crackle.n.01, crackle.v.03, crumble.v.02, crumble.v.01"
"ḱu̯es-, ḱus-","puff.s.01, wheeze.n.01, puff.n.07, wheeze.n.02, puff.n.03, sigh.n.01, sigh.n.02, puff.n.02, puff.n.01, sigh.v.01, wheeze.v.01, puff.v.08, puff.v.07, puff.v.06, sigh.v.02, puff.v.05, puff.v.01, puff.v.02, puff.v.04"
*gʰrei̯-,"spread.s.02, spread.n.10, spread.n.08, spread.n.07, spread.n.01, spread.n.05, spread.v.01, spread.v.02, spread.v.10, spread.v.09, spread.v.07, spread.v.03"
*h₂engʷ-{0},"spread.s.02, spread.n.10, spread.n.08, spread.n.07, spread.n.01, spread.n.05, spread.v.01, spread.v.02, spread.v.10, spread.v.09, spread.v.07, spread.v.03"
"3. bʰel-, bʰlē-","spread.s.02, spread.n.10, swell.n.03, spread.n.08, spread.n.07, swell.n.01, spread.n.01, spread.n.05, swell.n.02, swell.v.03, swell.v.06, inflate.v.02, inflate.v.01, swell.v.01, inflate.v.04, inflate.v.03, spread.v.01, spread.v.02, spread.v.10, spread.v.09, spread.v.07, swell.v.02, spread.v.03"
"2. (s)p(ʰ)er-, sprei-, spreu-","spread.s.02, sprinkle.n.02, spread.n.10, scatter.n.02, scatter.n.01, spread.n.08, spread.n.07, spread.n.01, spread.n.05, sprinkle.v.04, strew.v.02, sprinkle.v.02, scatter.v.03, strew.v.01, spread.v.01, spread.v.02, scatter.v.04, spread.v.10, spread.v.09, spread.v.07, spread.v.03, litter.v.01, sprinkle.v.03"
*dʰeh₁-{0},"lay.s.02, place.n.03, place.n.12, place.n.15, place.n.02, place.n.04, place.n.06, place.n.10, place.n.13, make.v.19, make.v.49, make.v.48, make.v.02, make.v.27, make.v.47, make.v.18, make.v.46, make.v.45, place.v.06, place.v.11, make.v.44, make.v.43, place.v.05, make.v.42, make.v.41, place.v.16, place.v.15, lay.v.02, lay.v.04, install.v.03, make.v.03, make.v.08, lay.v.03, make.v.15, make.v.38, make.v.16, make.v.37, make.v.36, make.v.35, lay.v.05, place.v.02, place.v.09, make.v.01, make.v.24, make.v.25, make.v.34, make.v.33, make.v.14, place.v.12, make.v.32, make.v.31, make.v.30"
?*u̯enh₁-{1},"lay.s.02, set.s.05, set.n.03, set.n.07, set.n.13, place.n.03, set.n.12, place.n.12, place.n.15, set.n.11, set.n.01, set.n.02, set.n.05, place.n.02, place.n.04, set.n.10, place.n.06, place.n.10, place.n.13, set.n.08, set.v.08, set.v.05, place.v.06, place.v.11, place.v.05, place.v.16, set.v.04, place.v.15, set.v.18, set.v.17, lay.v.02, lay.v.04, install.v.03, set.v.06, set.v.16, set.v.13, lay.v.03, set.v.09, set.v.10, lay.v.05, place.v.02, place.v.09, place.v.12"
2. ḱel-,"lean.s.04, lean.a.02, lean.s.03, lean.v.04, lean.v.02, incline.v.05, lean.v.01, incline.v.03, incline.v.02"
antro-m,"hollow.s.02, hollow.a.01, cave.n.01, hollow.n.02, hollow.n.01, cave.v.02, hollow.v.02, cave.v.01"
"1. dʰel-, dʰolo-","hollow.s.02, hollow.a.01, hollow.n.02, hollow.n.01, hollow.v.02"
"gʰeu̯ei̯ā, ǵʰeu̯ei̯ā","hollow.s.02, hollow.a.01, pit.n.09, pit.n.08, pit.n.07, pit.n.06, pit.n.05, hollow.n.02, pit.n.01, pit.n.02, hollow.n.01, pit.v.03, pit.v.01, hollow.v.02"
"kaiu̯r̥-t, kaiu̯n̥-t","hollow.s.02, cleft.s.01, hollow.a.01, hollow.n.02, ravine.n.01, cleft.n.01, hollow.n.01, hollow.v.02"
3. ner-,"hollow.s.02, hollow.a.01, hollow.n.02, hollow.n.01, hollow.v.02"
tu̯ī̆bʰ-,"hollow.s.02, hollow.a.01, hollow.n.02, hollow.n.01, hollow.v.02"
"2. lē̆ig-, līg-","similar.a.01, similar.s.04, form.n.16, form.n.07, form.n.11, form.n.14, form.n.03, form.n.01, form.n.08, form.n.10, form.n.09, form.v.07, form.v.01, form.v.02, form.v.03"
sāno-s,sane.a.01
"sā-, sə-","satiate.a.01, sufficient.a.01, enough.r.01, enough.n.01, satiate.v.01"
*dʰer-,"secure.a.01, secure.a.02, secure.a.03, fix.n.04, fix.n.02, fix.n.01, fix.v.12, fix.v.07, fix.v.06, secure.v.03, fix.v.10"
arqu-,"arch.s.03, arch.s.02, arch.s.01, arch.n.04, arch.n.03, arch.n.02, arc.n.02, arch.n.01, arch.v.01"
?3.*g̑ʰer-{1},"radiate.s.02, radiate.v.02, radiate.v.07, radiate.v.05, radiate.v.03, radiate.v.01"
du̯ō(u),"two.s.01, two.n.01"
trei-,"three.s.01, trio.n.02, trio.n.05, trio.n.04, trio.n.03, three.n.01"
"kʷetu̯er-, kʷetu̯ō̆r-, kʷ<sub>e</sub>tur- (masc.), kʷetes(o)r- (fem.)","four.s.01, fourth.s.01, fourth.n.03, four.n.01, fourth.n.01"
penkʷe,"five.s.01, fifth.s.01, fifth.n.04, fifth.n.01, five.n.01, fifth.n.02"
"su̯eḱs, seḱs, kseḱs, ksu̯eḱs, u̯eḱs : uḱs","six.s.01, six.n.01"
2.*seh₁(i̯)-{1},"seven.s.01, seven.n.01"
?*k/k̑i̯eh₂-{1},"seven.s.01, seven.n.01"
septm̥,"seven.s.01, seven.n.01"
oḱtō(u),"eight.s.01, eight.n.01"
"e-neu̯en, neu̯n̥, enu̯n̥","nine.s.01, nine.n.01"
"deḱm̥, deḱm̥-t, deḱu-","ten.s.01, ten.n.01, decade.n.01"
u̯ī-ḱm̥t-ī,"twenty.s.01, twenty.n.01"
ǵʰéslo-,"thousand.s.01, thousand.n.01"
*dʰu̯enH-{1},smoking.s.01
*h₂leh₁-{1},crushed.s.01
pando-s,"crooked.a.01, crooked.a.02"
*h₃u̯ath₂-{1},"wound.s.01, wound.n.04, wound.n.02, wound.n.03, wound.n.01"
*terh₃-{1},"wound.s.01, wound.n.04, wound.n.02, wound.n.03, wound.n.01"
bʰen-,"wound.s.01, wound.n.04, wound.n.02, wound.n.03, wound.n.01"
"1. ǵʰei-, ǵʰēi-","wound.s.01, wound.n.04, wound.n.02, wound.n.03, wound.n.01"
"1. u̯ā-, u̯ō-, u̯ə-","wound.s.01, wound.n.04, wound.n.02, wound.n.03, wound.n.01"
u̯en-,"wound.s.01, wound.n.04, wound.n.02, wound.n.03, wound.n.01"
"7. u̯el-, u̯elə-, u̯lē-",voluble.a.01
mau-ro-,tired.a.01
2. u̯er-,"top.a.01, top.n.10, top.n.09, top.n.08, top.n.07, top.n.06, top.n.02, top.n.01, highland.n.01, top.n.04, top.v.10, top.v.08, top.v.07, top.v.06, top.v.05, top.v.03"
"peg- : pog- : pōg-, pō̆k-s-","side.a.01, shoulder.n.05, shoulder.n.04, side.n.05, shoulder.n.01, shoulder.n.03, side.n.03, hip.n.01, hip.n.03, side.n.06, side.n.10, side.n.09, shoulder.n.02, side.n.08, side.n.02, side.n.04, side.n.07, side.n.01, hip.n.05, hip.n.04, side.v.01, shoulder.v.02, shoulder.v.03, shoulder.v.01"
mut-o-s,trimmed.a.01
ḱormo-,"suffering.s.01, pain.n.03, pain.n.02, suffering.n.04, pain.n.04, pain.n.01, suffering.n.02, harm.v.01, pain.v.02, torment.v.01, torment.v.02"
2. dʰē-,"set.s.05, set.n.03, set.n.07, set.n.13, place.n.03, set.n.12, place.n.12, place.n.15, set.n.11, set.n.01, set.n.02, set.n.05, place.n.02, place.n.04, set.n.10, place.n.06, place.n.10, place.n.13, set.n.08, set.v.08, set.v.05, place.v.06, place.v.11, place.v.05, place.v.16, set.v.04, place.v.15, put.v.04, set.v.18, put.v.02, put.v.01, set.v.17, install.v.03, set.v.06, set.v.16, set.v.13, set.v.09, set.v.10, put.v.07, place.v.02, place.v.09, place.v.12"
sed-,"set.s.05, set.n.03, set.n.07, set.n.13, settle.n.01, set.n.12, set.n.11, set.n.01, set.n.02, set.n.05, set.n.10, set.n.08, set.v.08, set.v.05, settle.v.04, settle.v.21, settle.v.07, settle.v.09, settle.v.08, settle.v.03, settle.v.13, settle.v.12, set.v.04, settle.v.19, set.v.18, settle.v.11, set.v.17, set.v.06, set.v.16, set.v.13, set.v.09, set.v.10, settle.v.16, settle.v.15, settle.v.10, settle.v.01, settle.v.14"
algʷʰ-,"chaffy.s.02, value.n.04, value.n.02, value.n.01, value.n.06, value.n.03, value.n.05, value.v.01"
"u̯egʷ- : ū̆gʷ-, ukʷs-","damp.s.01, sprinkle.n.02, damp.n.01, sprinkle.v.04, damp.v.02, sprinkle.v.02, sprinkle.v.03"
1. ḱel-,caloric.a.02
se-,"self.a.01, self.n.01, self.n.02"
*ku̯eh₁p-{1},"boiling.r.01, boiling.n.02, boiling.n.01"
"moḱs, Indo-Iranian *moḱsū̆",soon.r.01
"ati, ato-","beyond.r.03, beyond.r.01, beyond.r.02, over.r.03, over.r.01, over.r.02, over.r.04, over.n.01"
"4. ar, er, or?, r̥","now.r.03, now.r.04, now.r.01, now.r.07, now.r.06, now.n.01"
nū̆-,"now.r.03, now.r.04, now.r.01, now.r.07, now.r.06, now.n.01"
"ambʰi, m̥bʰi","around.r.09, around.r.02, around.r.04, around.r.07"
ebʰi? : obʰi : bʰi,"around.r.09, around.r.02, around.r.04, around.r.07"
2. me-,"around.r.09, around.r.02, around.r.04, around.r.07, by.r.01"
2. an-,"there.r.01, there.r.03, there.r.02, there.n.01"
(s)kert-s-,"across.r.02, across.r.01"
1. ad-,"by.r.01, at.n.02"
kom,"by.r.01, at.n.02"
?*gʷrem-{1},roaring.r.01
"bʰeg-, bʰeng-","smash.r.01, break.n.16, break.n.14, break.n.13, break.n.12, break.n.11, break.n.10, break.n.02, smash.n.02, break.n.09, break.v.59, break.v.58, break.v.56, break.v.22, break.v.55, break.v.03, break.v.02, smash.v.10, break.v.05, smash.v.02, break.v.53, break.v.10, break.v.52, break.v.16, break.v.51, break.v.50, break.v.49, break.v.48, break.v.46, smash.v.09, break.v.45, break.v.44, break.v.43, break.v.42, break.v.04, smash.v.01, break.v.41, smash.v.08, smash.v.07, break.v.40, break.v.39, break.v.38, break.v.09, break.v.20, break.v.35, break.v.08, break.v.19, break.v.07, break.v.34, smash.v.04, break.v.30, break.v.18, break.v.29, break.v.28, break.v.27, break.v.26, break.v.25, break.v.24"
"ǵʰði̯és, zero-grade ǵʰðis, simplified to ǵʰðés, ǵʰi̯és, ǵʰés","yesterday.r.01, yesterday.r.02, yesterday.n.01, yesterday.n.02"
4. rei- : rēi-,"thing.n.12, possession.n.02, thing.n.02, possession.n.01, possession.n.07, thing.n.04, thing.n.08, thing.n.09, thing.n.03, thing.n.10, thing.n.07, thing.n.05, thing.n.11, possession.n.05, thing.n.01, possession.n.03"
u̯ek-ti-,"thing.n.12, thing.n.02, thing.n.04, thing.n.08, thing.n.09, thing.n.03, thing.n.10, thing.n.07, thing.n.05, thing.n.11, thing.n.01"
2. sūs-,"parent.n.02, producer.n.03, creator.n.02, parent.n.01, producer.n.02"
dʰēigʷ- : dʰōigʷ- : dʰīgʷ-,"plant.n.02, stick.n.09, stab.n.02, plant.n.01, stick.n.01, stick.n.07, stick.n.03, stick.n.06, plant.n.04, stick.n.04, plant.n.03, stick.n.02, plant.v.06, stick.v.15, stab.v.02, plant.v.05, stick.v.13, stick.v.12, plant.v.01, stick.v.11, stick.v.10, stick.v.09, stick.v.08, plant.v.04, stick.v.04"
mo[u]-lo- : mū-lo-,"plant.n.02, plant.n.01, root.n.08, plant.n.04, root.n.03, plant.n.03, root.n.01, root.n.04, root.v.01, root.v.06, plant.v.06, plant.v.05, root.v.03, plant.v.01, plant.v.04, root.v.02"
1.*med-{1},"measure.n.02, measure.n.01, measure.n.09, measure.n.07, measure.v.01, measure.v.04, measure.v.03"
?2.*met-{1},"measure.n.02, measure.n.01, measure.n.09, measure.n.07, measure.v.01, measure.v.04, measure.v.03"
2. ḱers-,"course.n.04, course.n.01, course.n.09, course.n.08, course.n.07, course.n.02, course.n.03, course.v.03, course.v.01"
*dʰei̯g̑ʰ-,"brush.n.09, brush.n.08, brush.n.07, brush.n.06, brush.n.05, brush.n.02, brush.n.04, brush.n.03, brush.n.01, brush.v.05, knead.v.01, brush.v.02, brush.v.01, brush.v.03, brush.v.06, brush.v.04"
?2.*g̑ʰer-{1},"fetch.n.01, take.n.02, take.v.24, take.v.29, take.v.06, take.v.19, take.v.41, take.v.04, take.v.35, fetch.v.03, take.v.09, take.v.27, take.v.15, take.v.34, take.v.08, take.v.21, take.v.33, take.v.20, fetch.v.02, take.v.02, take.v.39"
*(s)teu̯p-,"hit.n.01, hit.n.03, push.n.01, hit.n.02, hit.n.07, push.n.05, hit.n.06, hit.n.05, push.n.02, push.v.02, hit.v.17, hit.v.16, hit.v.15, hit.v.05, hit.v.02, hit.v.03, hit.v.01, push.v.01, push.v.05, push.v.09, push.v.06, hit.v.12, hit.v.09, push.v.08"
1.*teu̯k-{1},"hit.n.01, hit.n.03, push.n.01, hit.n.02, hit.n.07, push.n.05, hit.n.06, hit.n.05, push.n.02, push.v.02, hit.v.17, hit.v.16, hit.v.15, hit.v.05, hit.v.02, hit.v.03, hit.v.01, push.v.01, push.v.05, push.v.09, push.v.06, hit.v.12, hit.v.09, push.v.08"
bʰāt- : bʰət-,"hit.n.01, hit.n.03, hit.n.02, hit.n.07, hit.n.06, hit.n.05, hit.v.17, hit.v.16, hit.v.15, hit.v.05, hit.v.02, hit.v.03, hit.v.01, hit.v.12, hit.v.09"
"3. kreu-, krou-s-","hit.n.01, break.n.16, hit.n.03, hit.n.02, hit.n.07, break.n.14, break.n.13, break.n.12, break.n.11, hit.n.06, hit.n.05, break.n.10, break.n.02, break.n.09, break.v.59, break.v.58, break.v.56, break.v.22, break.v.55, break.v.03, break.v.02, break.v.05, break.v.53, break.v.10, break.v.52, break.v.16, break.v.51, break.v.50, break.v.49, break.v.48, hit.v.17, break.v.46, hit.v.16, hit.v.15, hit.v.05, break.v.45, break.v.44, hit.v.02, break.v.43, break.v.42, break.v.04, hit.v.03, hit.v.01, break.v.41, break.v.40, break.v.39, break.v.38, break.v.09, break.v.20, break.v.35, break.v.08, break.v.19, break.v.07, break.v.34, hit.v.12, hit.v.09, break.v.30, break.v.18, break.v.29, break.v.28, break.v.27, break.v.26, break.v.25, break.v.24"
(s)leig-,"hit.n.01, hit.n.03, hit.n.02, hit.n.07, hit.n.06, hit.n.05, hit.v.17, hit.v.16, hit.v.15, hit.v.05, hit.v.02, hit.v.03, hit.v.01, hit.v.12, hit.v.09"
*teh₂g/g̑-{1},"touch.n.05, touch.n.04, touch.n.12, touch.n.11, touch.n.02, touch.n.10, touch.n.03, touch.n.09, touch.n.01, touch.n.06, touch.n.08, touch.v.13, touch.v.05, touch.v.01, touch.v.08, touch.v.11, grasp.v.01, touch.v.03, touch.v.02, touch.v.07"
dʰeugʰ-,"touch.n.05, press.n.09, press.n.08, press.n.07, press.n.03, press.n.06, touch.n.04, touch.n.12, touch.n.11, touch.n.02, touch.n.10, press.n.02, touch.n.03, touch.n.09, touch.n.01, touch.n.06, touch.n.08, touch.v.13, touch.v.05, touch.v.01, touch.v.08, touch.v.11, press.v.04, press.v.01, press.v.11, press.v.10, press.v.07, touch.v.03, press.v.06, touch.v.02, touch.v.07, press.v.08"
1. krei-,"touch.n.05, stroke.n.05, stroke.n.12, stroke.n.01, stroke.n.11, touch.n.04, touch.n.12, touch.n.11, touch.n.02, touch.n.10, stroke.n.10, touch.n.03, touch.n.09, touch.n.01, stroke.n.04, stroke.n.07, stroke.n.06, touch.n.06, touch.n.08, stroke.n.03, touch.v.13, stroke.v.04, stroke.v.02, stroke.v.03, touch.v.05, touch.v.01, touch.v.08, touch.v.11, stroke.v.01, touch.v.03, touch.v.02, touch.v.07"
"tag-, or teg- : tog- : t<sub>e</sub>g-","touch.n.05, touch.n.04, touch.n.12, touch.n.11, touch.n.02, touch.n.10, touch.n.03, touch.n.09, touch.n.01, touch.n.06, touch.n.08, touch.v.13, seize.v.07, touch.v.05, touch.v.01, touch.v.08, touch.v.11, seize.v.01, seize.v.02, seize.v.06, touch.v.03, touch.v.02, touch.v.07"
1. ei-,"exit.n.03, exit.n.01, exit.v.02, exit.v.01"
1.*bʰeu̯g-,"escape.n.01, escape.n.05, escape.n.04, escape.n.02, escape.n.07, escape.n.06, escape.v.07, squeak_by.v.02, escape.v.01, escape.v.05"
?*k(ʷ)et-{1},"escape.n.01, escape.n.05, escape.n.04, escape.n.02, escape.n.07, escape.n.06, escape.v.07, squeak_by.v.02, escape.v.01, escape.v.05"
1. bʰeug-,"escape.n.01, escape.n.05, escape.n.04, escape.n.02, escape.n.07, escape.n.06, escape.v.07, squeak_by.v.02, escape.v.01, escape.v.05"
*h₃slei̯dʰ-{1},"slip.n.15, slip.n.02, slip.n.14, slip.n.10, slip.n.07, slip.n.05, slip.n.03, slip.v.02, slip.v.04, slip.v.10, slip.v.05, slip.v.09, slip.v.08, slip.v.07"
*sleu̯bʰ-{1},"slip.n.15, slip.n.02, slip.n.14, glide.n.03, slip.n.10, slip.n.07, slip.n.05, slip.n.03, slip.v.02, slip.v.04, slip.v.10, glide.v.01, glide.v.03, glide.v.02, slip.v.05, slip.v.09, slip.v.08, slip.v.07"
sleub(ʰ)-,"slip.n.15, slip.n.02, slip.n.14, slip.n.10, slip.n.07, slip.n.05, slip.n.03, slip.v.02, slip.v.04, slip.v.10, slip.v.05, slip.v.09, slip.v.08, slip.v.07"
"(s)leuǵ-, (s)leuḱ-","slip.n.15, slip.n.02, slip.n.14, slip.n.10, slip.n.07, slip.n.05, slip.n.03, slip.v.02, slip.v.04, slip.v.10, slip.v.05, slip.v.09, slip.v.08, slip.v.07"
*dʰreu̯bʰ-{1},"break.n.16, break.n.14, break.n.13, break.n.12, break.n.11, break.n.10, break.n.02, break.n.09, break.v.59, break.v.58, break.v.56, break.v.22, break.v.55, break.v.03, break.v.02, break.v.05, break.v.53, break.v.10, crumble.v.02, break.v.52, break.v.16, break.v.51, break.v.50, break.v.49, break.v.48, break.v.46, break.v.45, break.v.44, break.v.43, break.v.42, break.v.04, break.v.41, break.v.40, break.v.39, break.v.38, break.v.09, break.v.20, break.v.35, break.v.08, break.v.19, crumble.v.01, break.v.07, break.v.34, break.v.30, break.v.18, break.v.29, break.v.28, break.v.27, break.v.26, break.v.25, break.v.24"
*lemH-{1},"break.n.16, break.n.14, break.n.13, break.n.12, break.n.11, break.n.10, break.n.02, break.n.09, break.v.59, break.v.58, break.v.56, break.v.22, break.v.55, break.v.03, break.v.02, break.v.05, break.v.53, break.v.10, break.v.52, break.v.16, break.v.51, break.v.50, break.v.49, break.v.48, break.v.46, break.v.45, break.v.44, break.v.43, break.v.42, break.v.04, break.v.41, break.v.40, break.v.39, break.v.38, break.v.09, break.v.20, break.v.35, break.v.08, break.v.19, break.v.07, break.v.34, break.v.30, break.v.18, break.v.29, break.v.28, break.v.27, break.v.26, break.v.25, break.v.24"
*reu̯p-,"break.n.16, break.n.14, break.n.13, break.n.12, break.n.11, break.n.10, break.n.02, break.n.09, break.v.59, break.v.58, break.v.56, break.v.22, break.v.55, break.v.03, break.v.02, break.v.05, break.v.53, break.v.10, break.v.52, break.v.16, break.v.51, break.v.50, break.v.49, break.v.48, break.v.46, break.v.45, break.v.44, break.v.43, break.v.42, break.v.04, break.v.41, break.v.40, break.v.39, break.v.38, break.v.09, break.v.20, break.v.35, break.v.08, break.v.19, break.v.07, break.v.34, break.v.30, break.v.18, break.v.29, break.v.28, break.v.27, break.v.26, break.v.25, break.v.24"
