root,meaning
*steu̯-,bekannt sein; preisen
*strengʰ-{1},to twist together
*streu̯-,to scatter
*streu̯g-,to paint
*streu̯g-,to wipe
*su̯eh₂d-{1},become tasty
*su̯enh₂-,to sound
*su̯enh₂-,to ring
*su̯ep-,to fall asleep
*teh₂g/g̑-{1},touch
*teh₂g/g̑-{1},grasp
*tei̯h₁-{1},become hot
*tekʷ-,run
*tekʷ-,flow
*tek̑-{1},procreate
*tek̑-{1},give birth
*telH-{1},become still
*telh₂-{1},keep
*telh₂-{1},take upon oneself
*telp-{1},Create space
*tem-{1},reach
*temH-{1},becoming exhausted
*temH-{1},fainting
*temh₁-{1},to cut
*temk-{1},to solidify
*temk-{1},to curdle
*temp-{1},tense
*temp-{1},stretch
*ten-{1},to tighten
*ten-{1},to stretch
*tens-{1},to pull/draw/move
*ter-{1},speak
*terd-,pierce
*terd-,split
*tergʷ-{1},threaten
*tergʷ-{1},frighten
*terh₁-{1},drill
*terh₁-{1},rub
*terh₂-{1},get through
*terh₂-{1},cross over
*terh₃-{1},wound
*terkʷ-{1},to rotate
*ters-,wither; become thirsty
*tetk̑-{1},generate
*tetk̑-{1},produce
*teu̯h₂-{1},‘swell
*teu̯h₂-{1},to become strong’{1a}
*th₂eu̯s-{1},to be silent
*th₂eu̯s-{1},to be quiet
*ti̯egʷ-,to withdraw oneself
*tk/k̑en-{1},to deliver a blow
*tk/k̑en-{1},to injure
*tk̑ei̯-,Practice agriculture
*tk̑ei̯-,settle
*tk̑ei̯-,live.
*treh₁u̯-{1},raise
*treh₁u̯-{1},nourish
*treh₃g/g̑-,gnaw
*trem-,tremble (with fear)
*trenk-{1},to urge
*tres-,(tremble) from fear
*treu̯H-{1},to wear out
*treu̯H-{1},to consume
*treu̯d-,to push / to collide
*tu̯ei̯s-{1},to arouse
*tu̯ei̯s-{1},to shock
*tu̯ek-{1},be visible
*tu̯em-{0},to swell
*tu̯enk-{1},to pressure
*tu̯enk-{1},to squeeze in
*tu̯er-{1},stir up
*tu̯er-{1},excite
*tu̯er-{1},drive
*tu̯erH-{1},to grasp/ to comprehend/ to understand
*tu̯erk̑-{1},carving
*tu̯erk̑-{1},cutting
*tʰengʰ-{1},to pull/draw/move
*u̯ebʰ-{1},wrap
*u̯ebʰ-{1},weave
*u̯ed-{1},gush forth; well up; spring up; emanate; originate
*u̯edʰ-{1},lead
*u̯edʰh₁-{1},to push / to collide
*u̯egʷ-{1},make wet
*u̯eg̑-{1},become cheerful
*u̯eg̑-{1},lively
*u̯eg̑-{1},vigorous
*u̯eg̑ʰ-,float; drive
*u̯eh₂-{1},turn
*u̯eh₂-{1},turn oneself
*u̯eh₂dʰ-{1},to step through
*u̯eh₂g/g̑-,break
*u̯eh₂g/g̑-,shatter
*u̯eh₂g̑-{1},cover
*u̯ei̯d-,to catch sight of
*u̯ei̯g-{1},to be set in motion
*u̯ei̯g-{1},to move away
*u̯ei̯h₁-,direct one's attention to
*u̯ei̯h₁-,strive for
*u̯ei̯k̑-{1},going into
*u̯ei̯k̑-{1},entering
*u̯ei̯p-,to get into a swinging/trembling movement
*u̯ekʷ-,to say
*u̯ek̑-,wish
*u̯ek̑-,desire
*u̯elh₁-{0},(aus)wählen
*u̯elh₁bʰ-{1},confuse (through puzzles)
*u̯elh₃-{1},to hit
*u̯elp-{1},hope to draw
*u̯emh₁-,vomit
*u̯en-,overwhelm
*u̯en-,win
*u̯enH-{1},to grow fond of
*u̯endʰ-{1},(to) wind (around)
*u̯erH-{1},to be hot
*u̯ergʷ-{1},to throw
*u̯erg̑ʰ-,(to) tie
*u̯erg̑ʰ-,(to) fasten
*u̯erh₁-,to say
*u̯erp-,hin- und herdrehen (?) [UNKNOWN]
*u̯ert-,to turn around
*u̯et-,to be familiar with
*u̯eth₂-{1},to say
*u̯i̯eh₁-{1},wrap
*u̯i̯eh₁-{1},envelop
*u̯i̯ekʷ-{1},wind
*u̯i̯ekʷ-{1},wrap around
*u̯lei̯kʷ-{1},moisten
*u̯reg-{1},follow a trail
*u̯reh₁-{1},find
*u̯reh₁g̑-,break
*u̯reh₁g̑-,tear (intransitive)
*u̯rei̯k̑-,turn; wrap
*u̯remb-,(to) turn
*u̯reng-{1},twist
*u̯reng-{1},(re)shape
1.*(h₁)reu̯dʰ-{1},make red
1.*(s)k/k̑er-,to jump
1.*(s)k/k̑er-,to swing
1.*(s)kep-{1},hacking
1.*(s)kep-{1},chopping
1.*(s)mer-{1},think of
1.*(s)mer-{1},remember
1.*(s)pelH-{1},speak publicly
1.*(s)teu̯d-,to push / to collide
1.*bʰeh₂-{1},shine
1.*bʰeh₂-{1},glow
1.*bʰeh₂-{1},sparkle
1.*bʰeu̯g-,escape
1.*bʰeu̯g-,get free
1.*bʰleu̯H-{1},overflow
1.*bʰreu̯H-{1},bubble
1.*bʰreu̯H-{1},fizz
1.*bʰreu̯H-{1},gush
1.*deh₁-,to bind
1.*dei̯k̑-,show
1.*dei̯k̑-,indicate
1.*demh₂-{1},(to) join
1.*demh₂-{1},build
1.*dreh₂-{1},(to) run away
1.*drem-{1},(where) to run
1.*dʰreu̯-,call out
1.*dʰreu̯-,announce
1.*dʰreu̯gʰ-{1},deceive
1.*dʰreu̯gʰ-{1},mislead
1.*gu̯el-{1},devour
1.*gu̯el-{1},swallow
1.*gʷelH-{1},torment
1.*gʷelH-{1},sting
1.*g̑ʰer-{1},Find pleasure
1.*g̑ʰer-{1},desire
1.*h₁ai̯-{1},give; take
1.*h₁es-{1},dasein
1.*h₁es-{1},to be
1.*h₁reh₁-{1},ask
1.*h₂eg̑-{0},to drive
1.*h₂er-{0},to fit (together)
1.*h₂et-{1},go
1.*h₂et-{1},hike
1.*h₂u̯es-{1},(in the morning) to become light
1.*h₃ed-,begin to smell
1.*h₃ep-{1},produce; manufacture; create; establish
1.*i̯eh₂-{0},move on
1.*i̯eh₂-{0},drive
1.*i̯eu̯-{1},hold tight
1.*i̯eu̯-{1},pull towards oneself
1.*i̯eu̯-{1},connect
1.*k/k̑ers-{1},run/walk
1.*keh₂-{1},to desire
1.*keh₂u̯-{1},to light
1.*keh₂u̯-{1},burn
1.*kerH-{1},remember with praise
1.*kert-{1},spin
1.*kert-{1},twist
1.*kʷei̯-{1},perceive
1.*kʷei̯-{1},notice
1.*k̑ei̯-,to lie
1.*k̑ei̯-,to be situated
1.*k̑el-{1},hide
1.*k̑erh₂-{1},break
1.*k̑erh₂-{1},shatter (intransitive)
1.*leh₂-{1},barking
1.*lei̯H-{1},snuggle up
1.*lei̯p-{1},stick
1.*lei̯p-{1},remain stuck
1.*lei̯t-{1},(weg)gehen
1.*leu̯g-,solve
1.*leu̯g-,break
1.*med-{1},measure
1.*med-{1},ensure compliance
1.*med-{1},take care
1.*mei̯-{1},to fasten
1.*mei̯H-{1},become small
1.*mei̯H-{1},disappear
1.*meldʰ-{1},letting go of
1.*meldʰ-{1},abandoning
1.*men-,grasp a thought
1.*nebʰ-{1},become humid
1.*nebʰ-{1},become cloudy
1.*nem-,allocate
1.*pei̯H-{1},to swell
1.*pei̯g-{1},paint
1.*pekʷ-,ripen
1.*pekʷ-,cook fully
1.*pek̑-,plucking or tousling (wool or hair)
1.*per-,come through
1.*per-,traverse
1.*peth₂-{1},spread out
1.*peu̯H-,cleanse
1.*peu̯H-,purify
1.*rebʰ-{0},to move (vigorously)
1.*reh₁-{1},give
1.*reh₁-{1},gift
1.*seg-{1},attach
1.*seg-{1},append
1.*seh₁(i̯)-{1},let go
1.*seh₂(i̯)-{1},to be satisfied
1.*sekʷ-,to join
1.*sel-{1},to leap
1.*sel-{1},jump
1.*ser-,to watch out for
1.*ser-,to protect
1.*skend-{1},(los)springen
1.*skend-{1},to jump (away)
1.*spend-,libieren [UNKNOWN]
1.*strei̯g-,to paint
1.*strei̯g-,to stroke
1.*strei̯g-,to cancel
1.*strei̯g-,to delete
1.*strei̯g-,to cross out
1.*strei̯g-,to smear
1.*su̯ei̯d-{1},to break out in a sweat
1.*su̯el-{1},smolder
1.*su̯el-{1},burn
1.*su̯er-,sound
1.*teh₂-{1},steal
1.*tek-,stretch out your hand
1.*tek-,receive
1.*tek-,attain
1.*tend-{1},to become weary
1.*teng/g̑-{1},wet
1.*teng/g̑-{1},moisten
1.*tep-,to be warm
1.*tep-,to be hot
1.*terp-,to satisfy oneself
1.*teu̯k-{1},push
1.*teu̯k-{1},hit
1.*teu̯s-,be satisfied
1.*teu̯s-,be calm
1.*trep-{1},tread
1.*trep-{1},stamp
1.*u̯ei̯s-{1},sprout
1.*u̯ei̯s-{1},thrive
1.*u̯el-{1},to enclose
1.*u̯el-{1},to cover
1.*u̯elH-{1},to be strong
1.*u̯elH-{1},to have power
1.*u̯elg-,to move rolling (?)
1.*u̯er-{1},to hold back
1.*u̯er-{1},fend off
1.*u̯er-{1},repel
1.*u̯erg̑-{1},lock
1.*u̯erg̑-{1},lock up
1.*u̯ers-,wipe
1.*u̯ers-,sweep
1.*u̯es-,(Clothing) to have on
1.*u̯es-,to be dressed in
2.*(s)kend-{1},to shine brightly
2.*(s)ker-{1},cut
2.*(s)ker-{1},scratch
2.*(s)ker-{1},trim
2.*(s)pelH-{1},separate
2.*(s)pelH-{1},divide
2.*(s)per-{1},fly
2.*bʰeh₂-{1},speak
2.*bʰeh₂-{1},say
2.*bʰeu̯g-{1},benefit someone
2.*bʰeu̯g-{1},bring benefit
2.*bʰreu̯H-{1},to break open
2.*dei̯k̑-{1},to throw
2.*demh₂-,tame
2.*demh₂-,subdue
2.*demh₂-,make docile
2.*drem-{1},sleep
2.*dʰembʰ-{1},"(brand)bestatten"" [UNKNOWN]"
2.*dʰreu̯-{1},mislead
2.*gʷelH-{1},trickle
2.*gʷelH-{1},seep
2.*h₁es-{0},throw
2.*h₁es-{0},shoot
2.*h₁reh₁-{1},rowing
2.*h₂eg̑-{1},to say
2.*h₂er-,take
2.*h₂er-,acquire
2.*h₂u̯es-,(ver)weilen
2.*h₂u̯es-,die Nacht verbringen
2.*h₃ed-{1},begin to hate
2.*i̯eh₂-{1},to request
2.*i̯eh₂-{1},to strive for
2.*keh₂u̯-{1},beat
2.*keh₂u̯-{1},split
2.*kers-{1},(to) cut (off)
2.*kʷei̯-,collect
2.*kʷei̯-,stack
2.*k̑el-{1},to warm up
2.*k̑erh₂-{1},mix
2.*lei̯H-{1},pour
2.*lei̯p-,desire
2.*lei̯p-,crave
2.*lei̯t-,to touch
2.*leu̯g/g̑-,to bend
2.*med-{1},become full
2.*med-{1},become satisfied
2.*mei̯-{1},switch; exchange
2.*mei̯-{1},change
2.*mei̯H-{1},mature
2.*mei̯H-{1},thrive
2.*meldʰ-,speak solemnly
2.*meldʰ-,announce
2.*men-,bleiben
2.*men-,warten
2.*nem-,to lean
2.*pekʷ-{1},trust
2.*per-,equalize
2.*per-,balance
2.*peth₂-,(to) fly (up)
2.*peth₂-,(to) take off
2.*peu̯H-{1},rotting
2.*peu̯H-{1},stinking
2.*reh₁-{1},count
2.*reh₁-{1},calculate
2.*seg/g̑-{1},salves
2.*seh₁(i̯)-{1},seven
2.*sekʷ-,to say
2.*sel-{1},reside
2.*sel-{1},linger
2.*ser-{1},string together
2.*ser-{1},link
2.*smer-{1},to receive a share
2.*strei̯g-,penetrate
2.*strei̯g-,get stuck
2.*su̯er-{1},pain
2.*su̯er-{1},ulcerate
2.*teh₂-{1},thaw
2.*teh₂-{1},melt
2.*tek-,weave
2.*tek-,braid
2.*tend-{1},cut
2.*tend-{1},split
2.*teng/g̑-,dünken
2.*teng/g̑-,scheinen (unpers.) [UNKNOWN]
2.*terp-{0},to solidify
2.*teu̯s-{1},to be/become empty
2.*trep-,to turn/turning
2.*u̯ei̯k-{1},overcome
2.*u̯ei̯k-{1},defeat
2.*u̯ei̯s-{1},flow
2.*u̯el-{1},turn
2.*u̯el-{1},roll
2.*u̯elH-,(to) roll
2.*u̯elH-,surge
2.*u̯erg̑-{1},wirkung
2.*u̯erg̑-{1},machen
2.*u̯ers-{1},rise
2.*u̯ers-{1},emerge
2.*u̯es-{1},(ver)kaufen
3.*kerH-{1},scatter
3.*kerH-{1},pour
3.*kʷei̯-,Accept penance
3.*kʷei̯-,punish
3.*leh₂-{1},to hide oneself
3.*per-,to hit
3.*sel-,to creep; to sneak
3.*ser-{1},take
3.*ser-{1},seize
3.*sper-{1},scatter
3.*u̯el-{1},see
3.*u̯el-{1},perceive
3.*u̯er-{1},observe
3.*u̯er-{1},perceive
3.*u̯erg̑-{1},to shear
3.*u̯es-{1},graze
3.*u̯es-{1},pasture
3.*u̯es-{1},consume
3.*u̯es-{1},eat
?*(h₁)reh₁s-{1},to plunge
?*(h₁)rei̯d-{1},(to) lean (oneself)
?*(k/k̑u̯eh₂-{1},acquire
?*(s)bʰeng-{1},shine
?*(s)bʰeng-{1},sparkle
?*(s)k(ʷ)rei̯-{1},describe a circle.
?*(s)krengʷ-,to bend
?*(s)krengʷ-,shrink
?*(s)pelt-{1},split; divide
?*(s)tegʷʰ-{1},to crown
?*(s)tegʷʰ-{1},to encircle
?*(s)terk̑-,dirty
?*Heu̯-{1},to weave
?*Hu̯eRdʰ-{1},grow big/strong
?*Ki̯eh₂p-{1},to rot
?*Krei̯H-{1},to touch
?*KrepH-{1},crash
?*Red-{1},to scrape
?*Red-{1},scratch
?*Rei̯bʰ-{1},sing
?*bʰRek̑-{1},sharpen
?*bʰRenk̑-{1},to fall off
?*bʰeh₁-{1},to warm
?*bʰelH-{1},to sound
?*bʰelH-{1},to boom
?*bʰeld-{1},knock
?*bʰelk-{1},support
?*bʰen-{1},get sick
?*bʰend-{1},to be happy
?*bʰend-{1},to rejoice
?*bʰerdʰ-{1},erbeuten
?*bʰerdʰ-{1},einnehmen’{1a} [UNKNOWN]
?*bʰergʰ-{1},pay attention
?*bʰergʰ-{1},preserve
?*bʰes-{1},(to) chew
?*bʰeu̯d-{1},to hit
?*bʰled-{1},bubble
?*bʰled-{1},fizz
?*bʰled-{1},gush
?*bʰleh₂g-{1},to hit
?*bʰlei̯d-{1},swollen
?*bʰlei̯d-{1},overflowing
?*bʰlei̯g-{1},shine; sparkle
?*bʰlendʰ-{1},become dull
?*bʰleu̯dh₂-{1},to dissolve
?*bʰleu̯k-{1},to become pale
?*bʰredʰ-{1},to wade
?*bʰrei̯Hk-{1},to resist
?*bʰrei̯Hk-{1},to stand up
?*bʰrend-{1},swell
?*bʰrend-{1},swell
?*bʰrenk-{1},to swell
?*bʰreu̯Hg/g̑-{1},enjoy
?*bʰreu̯Hg/g̑-{1},use
?*bʰreu̯k-{1},to paint; to stripe
?*bʰreu̯k̑-{1},to scrape off
?*bʰseH-{1},to chew
?*deH-{1},mow
?*deh₃u̯-{1},give
?*dek(ʷ)s-{1},show
?*derHgʰ-{1},pull
?*derHgʰ-{1},tug
?*derbʰ-{1},(bunch of grass) tie together
?*derbʰ-{1},weave
?*derdʰ-{1},(to) fall asleep
?*deu̯s-{1},to need
?*deu̯s-{1},to lack
?*di̯eu̯t-{1},flash
?*di̯eu̯t-{1},glow
?*dreg̑ʰ-,grieve
?*dreh₁-{1},sleep
?*dreu̯H-{1},cut down
?*du̯ei̯s-,hate
?*du̯ei̯s-,antagonize
?*du̯er-{1},run/walk
?*dʰeh₁k-{1},make
?*dʰeh₁k-{1},produce
?*dʰeh₂g/g̑-{1},sharpen
?*dʰeh₂g/g̑-{1},hone
?*dʰeu̯dʰ-{1},to shake
?*dʰeu̯dʰ-{1},to rock
?*dʰeu̯dʰ-{1},to shock
?*dʰreb-{1},bump
?*dʰreb-{1},meet
?*dʰrei̯bʰ-{1},to drive
?*dʰrei̯d-{1},"scheißen"" [UNKNOWN]"
?*dʰreu̯b-{1},drop
?*dʰreu̯s-,fall
?*dʰreu̯s-,drop
?*dʰu̯er-{1},damage
?*dʰu̯er-{1},injure
?*g(ʷ)eRg̑ʰ-{1},to complain
?*g(ʷ)eu̯-{1},multiply; increase
?*g(ʷ)eu̯H-{1},to gain
?*g(ʷ)eu̯bʰ-{1},to bend
?*g(ʷ)renth₂-{1},to tie
?*g(ʷ)renth₂-{1},to connect
?*g(ʷ)renth₂-{1},to link
?*g(ʷ)ʰer-{1},to drip
?*g(ʷ)ʰers-{1},to rejoice
?*g(ʷ)ʰers-{1},to be glad
?*g(ʷ)ʰeu̯g̑ʰ-{1},hide
?*g(ʷ)ʰeu̯s-,(Sounds) hear
?*g/g̑ʰeHb-{1},seize
?*g/g̑ʰeHb-{1},take.
?*g/g̑ʰei̯g/g̑ʰ-{0},lechzen [UNKNOWN]
?*g/g̑ʰreh₁d-{1},cry
?*glei̯bʰ-{1},stick
?*glei̯bʰ-{1},remain stuck
?*gnet-{1},press
?*gnet-{1},knead
?*greng̑ʰ-{1},to turn
?*gʰedʰ-{1},(to) meet
?*gʰedʰ-{1},unite
?*gʰei̯dʰ-{1},wish
?*gʰei̯dʰ-{1},expect
?*gʰeldʰ-{1},pay
?*gʰeldʰ-{1},atone
?*gʰrebʰ-{1},dig
?*gʰrei̯bʰ-{1},to grab/to grasp/to seize
?*gʰrei̯dʰ-{1},to stride
?*gʷelh₃-{1},wish
?*gʷelh₃-{1},want
?*gʷet-{1},to say
?*gʷrem-{1},rushing
?*gʷrem-{1},roaring
?*gʷʰel-{1},consume
?*gʷʰel-{1},graze
?*g̑(ʰ)u̯elg(ʷ)ʰ-{1},to look at
?*g̑ebʰ-{1},eat
?*g̑ebʰ-{1},chew
?*g̑eu̯H-{1},to set oneself in quick motion
?*g̑i̯eH-{1},to rob
?*g̑i̯eH-{1},to deprive
?*g̑rei̯-{1},to extend
?*g̑rei̯-{1},to stretch
?*g̑ʰeH-{1},change body position
?*g̑ʰeH-{1},move
?*g̑ʰeRH-{1},to be angry
?*g̑ʰei̯-{1},drive
?*g̑ʰeu̯d-{1},pour
?*g̑ʰneu̯-{1},to be ashamed
?*g̑ʰrei̯H-{1},to curl one's lips
?*g̑ʰrei̯H-{1},to be embarrassed
?*h₁eg/g̑H-{1},(er)mangeln
?*h₁ek/k̑-{1},die
?*h₁elh₂-{1},drift
?*h₁elh₂-{1},float
?*h₁elh₂-{1},go where
?*h₁elk-{1},suffer
?*h₁elk-{1},feel bad
?*h₁erh₂-{1},to love
?*h₁erk-{1},to cut into pieces
?*h₁gʷʰel-{1},wish
?*h₁gʷʰel-{1},desire
?*h₁neg̑ʰ-{1},stab
?*h₁neg̑ʰ-{1},insert
?*h₁u̯eld-{1},wish
?*h₁u̯eld-{1},desire
?*h₂eh₃-{1},believe
?*h₂eh₃-{1},trust
?*h₂elg/g̑ʰ-{1},to freeze
?*h₂endʰ-{1},bloom
?*h₂endʰ-{1},sprout
?*h₂enk̑-{1},allocate
?*h₂ent-{1},To initiate
?*h₂ent-{1},weave fabric
?*h₂g/g̑er-{1},collect
?*h₂g/g̑er-{1},gather
?*h₂g/g̑er-{1},take
?*h₂mert-{1},to miss
?*h₂mert-{1},to fail
?*h₂seu̯t-{1},well up
?*h₂u̯ei̯d-{1},sing
?*h₂u̯ei̯s-{1},hear
?*h₂u̯erh₁-{1},sprinkle
?*h₂u̯et-{1},pull
?*h₂u̯et-{1},lead
?*h₃ei̯gʰ-{1},(go) away
?*h₃ei̯t-{1},to take with
?*h₃peu̯s-{1},to multiply
?*h₃peu̯s-{1},to become rich with
?*h₃u̯ei̯g-{1},öffnen [UNKNOWN]
?*i̯ek(ʷ)s-{1},to appear
?*i̯em-{1},stretch out
?*i̯em-{1},reach out
?*i̯eu̯t-{1},perceive
?*i̯eu̯t-{1},awaken
?*k(ʷ)RemH-{1},take a step
?*k(ʷ)Rend-{1},scream
?*k(ʷ)Rend-{1},neigh
?*k(ʷ)RepH-{1},to whine/complain/moan
?*k(ʷ)eh₂d-{1},tear
?*k(ʷ)eh₂d-{1},press
?*k(ʷ)ek(ʷ)-{1},reach for
?*k(ʷ)ek(ʷ)-{1},achieve
?*k(ʷ)emp-{1},tremble
?*k(ʷ)emp-{1},shake
?*k(ʷ)enH-{1},Find pleasure
?*k(ʷ)enH-{1},get into joy.
?*k(ʷ)erd-{1},hear
?*k(ʷ)et-{1},escape
?*k(ʷ)eu̯k-{1},to bend oneself.
?*k(ʷ)h₂ed-{1},(to) squish
?*k(ʷ)h₂ed-{1},crush
?*k(ʷ)h₂eg̑-{1},consume
?*k(ʷ)lenk(ʷ)-{1},bend the knees
?*k(ʷ)rei̯p-{1},turn
?*k(ʷ)rei̯p-{1},flip
?*k(ʷ)seu̯bʰ-{1},to waver or falter
?*k(ʷ)su̯ei̯bʰ-{1},to swing
?*k/k̑end-{1},to stand out/ excel/ to distinguish oneself
?*k/k̑eu̯bh₂-{1},lie down
?*k/k̑i̯eh₂-{1},seven
?*k/k̑leh₂u̯-{1},cry
?*k/k̑leh₃dʰ-{1},to spin
?*k/k̑remH-{1},burn
?*keh₁u̯-,wobble
?*kei̯t-,to be bright
?*kei̯t-,to shine
?*kei̯t-,to glow
?*kh₂ei̯d-{1},to hit
?*kleu̯H-{1},wohin geraten (?) [UNKNOWN]
?*knei̯bʰ-{1},reflexive
?*kneu̯H-{1},scratch
?*kreh₂-{1},accumulate
?*kreh₂-{1},collect
?*ku̯ei̯t-{1},erglänzen’ (?) [UNKNOWN]
?*ku̯ep-{1},to breathe
?*k̑ei̯s-{1},leave behind
?*k̑end-{1},Developing self-confidence
?*k̑end-{1},strength
?*k̑eu̯H-{1},throw
?*k̑eu̯H-{1},push
?*k̑eu̯bʰ-{1},become/beautiful
?*k̑eu̯dʰ-{1},to become clean
?*k̑i̯eH-{1},freeze
?*k̑lei̯s-{1},sticking
?*k̑lei̯s-{1},adhering
?*k̑neth₂-{1},push
?*k̑neth₂-{1},stab
?*k̑sed-{1},'zerlegen' → 'auftischen' [UNKNOWN]
?*k̑u̯eH-{1},to throw
?*las-{1},be unrestrained
?*las-{1},be greedy
?*leg/g̑-{1},to drip
?*leh₂dʰ-{1},remain hidden
?*leh₂k-,1 'noise'
?*lei̯k-{1},to be on sale/to offer for sale
?*lek-{1},move the limbs’ (?)
?*lenk-{1},to bend
?*leu̯d-{1},to crouch
?*leu̯d-{1},to bow
?*leu̯gʰ-{1},lie
?*leu̯p-{1},(to) peel
?*leu̯t-{1},see
?*mei̯k/k̑h₂-,aufblitzen (?) [UNKNOWN]
?*mei̯s-{1},to open one's eyes
?*melh₂u̯-{1},grind
?*melh₂u̯-{1},mill
?*melk(ʷ)-{1},become still
?*meu̯s-{1},to close oneself
?*mi̯ek̑s-{1},to settle (at/on/in)
?*ned-{1},to sound
?*ned-{1},to boom
?*nei̯d-{1},flow; stream
?*nerH-{1},to go underground
?*peHs-{1},see
?*peh₂u̯-{1},stop; end
?*peh₃lH-{1},fallen [UNKNOWN]
?*pel-{1},flare up
?*pelk-{1},envelop
?*pelk-{1},hide
?*pert-{1},get into an argument
?*pert-{1},fight
?*peu̯k-{1},to exhale
?*peu̯k-{1},to wheeze
?*peu̯t-{1},inflate
?*pleh₂k-{1},to hit (also as a gesture)
?*pleh₃k-{1},to satisfy
?*pleh₃k-{1},to please
?*pleu̯d-{1},swim; flow
?*pleu̯k-{1},float
?*pleu̯k-{1},swim
?*pneu̯-{1},to exhale
?*pneu̯-{1},to wheeze
?*pret-{1},recognize
?*preu̯th₂-{1},snort
?*preu̯th₂-{1},foam
?*rasd-{1},scratch
?*redʰ-{1},appear
?*redʰ-{1},arise
?*reg̑-{1},flow
?*reg̑-{1},drip (?)
?*reh₁p-{1},crawl
?*reh₁t-{1},meet
?*reh₁t-{1},find
?*reh₂(i̯)-{1},shout
?*reh₂(i̯)-{1},yell
?*rei̯s-{1},to take damage
?*renk-{1},gather
?*renk-{1},collect
?*seh₁k̑-{1},to be there
?*seh₁k̑-{1},to have arrived
?*sei̯dʰ-,drift away
?*sesT-{1},grow
?*sesT-{1},thrive
?*seu̯-{1},to squeeze out
?*seu̯H-{1},give birth; bear
?*seu̯h₃-{1},to be/become full
?*seu̯k-{1},turn
?*seu̯k-{1},twist
?*sk/k̑rei̯bʰ-{1},scratch
?*sk/k̑rei̯bʰ-{1},carve
?*skeHt-{1},jump out
?*skebʰH-{1},support
?*skerdʰ-{1},schneiden
?*skerdʰ-{1},stechen’ (?) [UNKNOWN]
?*skeu̯bʰ-{1},push
?*skeu̯bʰ-{1},shove
?*skeu̯t-{1},scratch
?*skeu̯t-{1},scrape
?*skrei̯t-{0},‘go in circles’ (?)
?*sk̑ed-{1},cover
?*sk̑end-{1},(to) appear
?*sk̑erd-{1},to eject
?*slak-{1},to hit
?*sleh₁b-{1},to be limp
?*slei̯b-{1},schleifen
?*slei̯b-{1},gleiten [UNKNOWN]
?*smeh₁-{1},stroke
?*smeh₁-{1},rub
?*smei̯d-{1},smear
?*smeu̯k-{1},glide
?*snedʰ-{1},to cut
?*snei̯t-{1},to cut
?*splend-{1},shine
?*splend-{1},be/become bright
?*spreg-{1},crackle
?*spreg-{1},crunch
?*spʰei̯g-{1},to lace up
?*srei̯Hg/g̑-{1},freeze
?*srei̯Hg/g̑-{1},shudder
?*stegʰ-,sting
?*stegʰ-,stab
?*stegʰ-,poke
?*steh₂g/g̑-{1},to trickle; to drip
?*steh₂g/g̑-{1},to drizzle
?*stei̯b-{1},make stiff/firm
?*stei̯p-,make stiff
?*stelg/g̑-{1},smooth out
?*stelh₂k/k̑-{1},to drip
?*sterh₁-{1},lack
?*sterh₁-{1},be deprived
?*sti̯eH-{1},become stiff
?*strebʰ-{1},turn
?*strebʰ-{1},flip
?*su̯eh₁(i̯)-{1},sway
?*su̯eh₁(i̯)-{1},swing
?*su̯ei̯H-{1},dwindle
?*su̯ei̯gʷ-{1},dodge; abandon
?*su̯elH-{1},to swell
?*su̯eld-{1},starve
?*su̯eld-{1},die
?*su̯eng-{1},to embrace
?*su̯engʷʰ-{1},swing
?*su̯erbʰ-{1},wipe off
?*su̯erbʰ-{1},rub off
?*su̯ergʰ-{1},being sick; worrying
?*tag-{1},order
?*tag-{1},arrange
?*tag-{1},set up
?*teg-{1},swear
?*teh₂k/k̑-{1},melt (intr.)
?*telk-{1},to hit
?*teu̯H-{1},(friendly) to observe
?*teu̯H-{1},consider; to protect
?*teu̯p-,crouch down
?*teu̯p-,make oneself small
?*treH-{1},protect
?*treh₁-{1},to turn
?*trei̯K-{1},to miss
?*trei̯K-{1},to fail
?*trei̯gʷ-{1},rub
?*tresk̑-{1},squeeze out
?*tresk̑-{1},thresh
?*treu̯g-{1},to become dry
?*treu̯p-{1},crumble
?*treu̯p-{1},disintegrate
?*tu̯ei̯-{1},scare
?*tu̯ei̯-{1},intimidate
?*u̯Rei̯H-{1},compress
?*u̯Resk(ʷ)-{1},chop off
?*u̯eHg̑ʰ-{1},acknowledge
?*u̯eHg̑ʰ-{1},respect
?*u̯eRg̑ʰ-{1},tear
?*u̯eg-{1},weave
?*u̯eg-{1},knot
?*u̯eh₂g/g̑ʰ-{1},scream
?*u̯ei̯(H)-{1},wither
?*u̯elk-{1},to be/become wet/humid
?*u̯enT-{1},to sleep over
?*u̯end-{1},praise
?*u̯end-{1},acclaim
?*u̯eng-,to bend (oneself)
?*u̯enh₁-{1},set
?*u̯enh₁-{1},place
?*u̯enh₁-{1},lay
?*u̯enk-{1},to curl
?*u̯enk-{1},to bend
?*u̯ep-{1},to scatter
?*u̯i̯eth₂-{1},waver
?*u̯red-{1},become/make soft
?*u̯reh₂-{1},take away
?*u̯rei̯t-{1},turn
?*u̯rei̯t-{1},twist
?*u̯rengʰ-{1},wind
?*u̯rengʰ-{1},twist
?*u̯rep-{1},to lean
?1.*(s)kel-{1},to become guilty
?1.*(s)prend-{1},spannen’ (?) [UNKNOWN]
?1.*dʰembʰ-{1},erstaunen (intr.)
?1.*dʰembʰ-{1},in Erstaunen geraten
